E00056750,276
E00056751,288
E00056752,419
E00056753,266
E00056754,257
E00056755,335
E00056756,321
E00056757,614
E00056758,443
E00056759,276
E00056760,275
E00056761,298
E00056762,490
E00056763,308
E00056764,373
E00056765,326
E00056766,381
E00056767,269
E00056768,371
E00056769,299
E00056770,307
E00056771,259
E00056772,495
E00056773,315
E00056774,136
E00056775,278
E00056776,308
E00056777,270
E00056778,127
E00056779,544
E00056780,174
E00056781,299
E00056782,319
E00056783,313
E00056784,243
E00056787,221
E00056788,320
E00056789,363
E00056790,510
E00056792,356
E00056793,338
E00056794,321
E00056795,271
E00056796,252
E00056797,268
E00056798,245
E00056799,278
E00056800,266
E00056801,236
E00056802,376
E00056803,269
E00056804,322
E00056805,284
E00056806,234
E00056807,274
E00056808,261
E00056809,260
E00056810,294
E00056811,328
E00056812,273
E00056813,356
E00056814,284
E00056815,304
E00056816,225
E00056817,330
E00056818,207
E00056819,150
E00056820,224
E00056821,222
E00056822,406
E00056823,341
E00056825,342
E00056827,280
E00056828,214
E00056829,246
E00056830,322
E00056831,225
E00056832,245
E00056833,228
E00056834,405
E00056835,319
E00056836,223
E00056837,229
E00056838,277
E00056839,474
E00056840,409
E00056841,279
E00056842,319
E00056843,332
E00056845,342
E00056846,450
E00056847,397
E00056848,243
E00056849,256
E00056850,350
E00056851,321
E00056852,559
E00056853,342
E00056854,284
E00056855,262
E00056856,292
E00056858,256
E00056859,325
E00056861,295
E00056862,446
E00056863,374
E00056864,352
E00056865,282
E00056866,243
E00056867,338
E00056868,343
E00056869,338
E00056871,235
E00056873,332
E00056874,538
E00056875,249
E00056877,264
E00056878,304
E00056879,237
E00056880,252
E00056881,198
E00056882,362
E00056883,471
E00056884,306
E00056885,386
E00056886,149
E00056887,397
E00056888,194
E00056889,358
E00056890,281
E00056891,221
E00056892,284
E00056893,353
E00056894,396
E00056895,286
E00056897,236
E00056898,354
E00056899,313
E00056900,272
E00056901,202
E00056902,362
E00056903,463
E00056904,321
E00056905,290
E00056906,374
E00056907,302
E00056908,187
E00056909,400
E00056910,233
E00056911,285
E00056912,280
E00056913,343
E00056914,298
E00056915,297
E00056916,189
E00056917,298
E00056918,335
E00056919,247
E00056920,359
E00056921,437
E00056922,284
E00056923,272
E00056924,293
E00056925,292
E00056926,233
E00056927,380
E00056928,302
E00056929,277
E00056930,270
E00056931,344
E00056932,265
E00056933,327
E00056934,285
E00056935,198
E00056936,290
E00056937,155
E00056938,278
E00056939,336
E00056940,310
E00056941,387
E00056942,315
E00056943,366
E00056945,275
E00056946,351
E00056947,325
E00056948,398
E00056949,156
E00056950,292
E00056951,255
E00056952,270
E00056953,278
E00056954,290
E00056955,288
E00056956,258
E00056957,289
E00056958,293
E00056959,172
E00056960,365
E00056961,284
E00056962,543
E00056963,330
E00056964,296
E00056965,296
E00056966,253
E00056967,366
E00056968,440
E00056969,268
E00056970,334
E00056971,225
E00056972,192
E00056973,310
E00056974,376
E00056975,390
E00056976,419
E00056977,246
E00056978,280
E00056979,330
E00056981,290
E00056982,337
E00056983,300
E00056984,258
E00056985,328
E00056986,290
E00056987,342
E00056988,342
E00056989,339
E00056990,322
E00056991,431
E00056992,363
E00056993,364
E00056994,331
E00056995,333
E00056997,364
E00056998,625
E00056999,298
E00057000,288
E00057001,333
E00057002,260
E00057003,338
E00057004,203
E00057005,206
E00057006,259
E00057007,251
E00057008,230
E00057009,386
E00057010,234
E00057011,399
E00057012,504
E00057013,298
E00057014,382
E00057015,413
E00057016,433
E00057017,354
E00057018,287
E00057019,323
E00057020,442
E00057021,288
E00057022,387
E00057023,414
E00057024,365
E00057025,310
E00057026,308
E00057027,353
E00057028,337
E00057029,445
E00057030,265
E00057031,298
E00057032,399
E00057033,229
E00057034,470
E00057035,430
E00057036,418
E00057037,355
E00057038,387
E00057039,229
E00057040,288
E00057041,347
E00057042,342
E00057043,273
E00057044,282
E00057045,284
E00057046,323
E00057047,323
E00057048,466
E00057049,557
E00057050,259
E00057051,447
E00057052,323
E00057053,298
E00057054,397
E00057055,308
E00057056,346
E00057057,228
E00057058,319
E00057059,251
E00057060,277
E00057062,337
E00057063,251
E00057064,389
E00057065,195
E00057066,292
E00057067,406
E00057068,293
E00057069,288
E00057070,322
E00057071,235
E00057072,215
E00057073,298
E00057074,261
E00057075,282
E00057076,429
E00057077,267
E00057078,192
E00057079,288
E00057080,269
E00057081,414
E00057082,295
E00057083,220
E00057084,188
E00057085,281
E00057086,264
E00057087,284
E00057088,370
E00057089,256
E00057090,250
E00057091,310
E00057092,522
E00057093,266
E00057094,250
E00057095,261
E00057096,309
E00057097,309
E00057098,252
E00057099,202
E00057100,201
E00057101,264
E00057102,263
E00057103,231
E00057104,311
E00057105,285
E00057106,231
E00057107,277
E00057108,263
E00057109,445
E00057110,337
E00057111,312
E00057112,271
E00057113,224
E00057114,250
E00057115,238
E00057116,354
E00057117,223
E00057118,243
E00057119,267
E00057120,195
E00057121,227
E00057122,279
E00057123,259
E00057124,443
E00057125,427
E00057126,502
E00057127,359
E00057128,265
E00057129,294
E00057130,383
E00057131,403
E00057132,300
E00057133,320
E00057134,406
E00057135,423
E00057136,344
E00057137,352
E00057138,377
E00057139,327
E00057140,363
E00057141,377
E00057142,215
E00057144,361
E00057145,390
E00057146,207
E00057147,255
E00057148,249
E00057149,356
E00057150,272
E00057151,445
E00057152,284
E00057153,279
E00057154,323
E00057155,302
E00057156,254
E00057157,283
E00057158,320
E00057159,347
E00057160,344
E00057161,277
E00057162,327
E00057163,396
E00057164,275
E00057165,429
E00057167,284
E00057169,326
E00057170,310
E00057171,473
E00057172,425
E00057173,286
E00057175,355
E00057176,211
E00057177,478
E00057178,378
E00057180,510
E00057181,222
E00057182,211
E00057183,180
E00057184,205
E00057185,369
E00057186,272
E00057187,394
E00057188,331
E00057189,520
E00057190,274
E00057191,256
E00057192,259
E00057193,256
E00057194,302
E00057195,299
E00057196,277
E00057197,266
E00057198,366
E00057199,351
E00057200,441
E00057202,376
E00057204,465
E00057205,269
E00057206,260
E00057207,275
E00057208,434
E00057209,333
E00057210,438
E00057211,434
E00057212,259
E00057213,458
E00057214,340
E00057215,304
E00057216,441
E00057217,516
E00057218,341
E00057220,501
E00057221,347
E00057222,530
E00057223,395
E00057225,670
E00057226,314
E00057227,335
E00057228,301
E00057229,262
E00057230,263
E00057231,337
E00057232,495
E00057233,303
E00057234,236
E00057235,283
E00057236,290
E00057238,341
E00057239,317
E00057240,173
E00057241,397
E00057242,319
E00057244,522
E00057245,377
E00057246,141
E00057247,280
E00057248,322
E00057249,286
E00057250,235
E00057251,298
E00057252,346
E00057253,326
E00057254,403
E00057255,455
E00057256,265
E00057257,282
E00057258,170
E00057259,210
E00057261,309
E00057262,350
E00057264,360
E00057265,384
E00057266,582
E00057267,281
E00057268,169
E00057269,379
E00057270,491
E00057271,214
E00057272,361
E00057273,345
E00057274,286
E00057275,181
E00057276,303
E00057277,198
E00057278,211
E00057280,194
E00057281,315
E00057282,280
E00057283,340
E00057284,291
